"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"1 One Dwelling",747.5,2002,2267,1935
"1 One Dwelling",1050,1448,2000,1925
"1 One Dwelling",900,1564,2900,1925
"1 One Dwelling",700,1088,1072,1925
"1 One Dwelling",960,1280,2080,1925
"1 One Dwelling",1100,1632,2500,1925
"1 One Dwelling",720,1104,966,1930
"1 One Dwelling",749,1473,1125,1950
"1 One Dwelling",670,1260,867,1925
"1 One Dwelling",610,980,980,1925
"1 One Dwelling",1185,2008,3000,1975
"1 One Dwelling",910,1256,2153,1925
"1 One Dwelling",374,1410,1892,1925
"1 One Dwelling",820,1410,1892,1925
"1 One Dwelling",710,1680,1650,1940
"1 One Dwelling",809,1600,1260,1950
"1 One Dwelling",855,1554,2074,1935
"1 One Dwelling",885,1782,1318,1940
"1 One Dwelling",755,2072,2170,1925
"2 Two Dwelling",1575,2622,1900,1965
"2 Two Dwelling",999.5,3264,2000,1899
"2 Two Dwelling",975,3264,2000,1899
"2 Two Dwelling",928,3444,2000,1899
"2 Two Dwelling",1300,2130,1606,1920
"2 Two Dwelling",1238,2130,1606,1920
"2 Two Dwelling",1160,2130,1606,1920
"2 Two Dwelling",760,1440,2000,1925
"2 Two Dwelling",1200,2544,2500,1899
"2 Two Dwelling",725,1484,1780,1925
"2 Two Dwelling",1450,3644,4000,1901
"2 Two Dwelling",600,1636,2000,1901
"2 Two Dwelling",570,1188,790,1925
"2 Two Dwelling",775,1312,1760,1915
"2 Two Dwelling",985,2200,2000,1905
"2 Two Dwelling",1320,2125,1900,1910
"2 Two Dwelling",899,2508,2458,1920
"2 Two Dwelling",950,2540,2114,1920
"2 Two Dwelling",1138,2144,3180,1905
"2 Two Dwelling",1465,2360,2092,1930
"2 Two Dwelling",10,2584,1900,1931
"2 Two Dwelling",892,2322,5800,1925
"2 Two Dwelling",748,1192,1400,1925
"2 Two Dwelling",350,3654,2223,1931
"2 Two Dwelling",1300,2590,2500,1925
"2 Two Dwelling",900,2192,1793,1925
"2 Two Dwelling",1025,2634,1800,1899
"2 Two Dwelling",1130,3623,1476,1935
"2 Two Dwelling",1090,3255,1665,1935
"2 Two Dwelling",2001,4027,8322,1899
"2 Two Dwelling",843.76,992,1957,1920
"2 Two Dwelling",1250,2280,2650,1925
"2 Two Dwelling",980,2200,2500,1925
"2 Two Dwelling",1350,2400,2550,1925
"2 Two Dwelling",1600,2368,5267,1925
"2 Two Dwelling",870,2507,1983,1925
"2 Two Dwelling",818,2147,1917,1925
"2 Two Dwelling",965,2796,2000,1910
"2 Two Dwelling",1479,2796,2000,1910
"2 Two Dwelling",1318,3212,2000,1925
"2 Two Dwelling",1322.5,3212,2000,1925
"2 Two Dwelling",950,3135,2000,1925
"2 Two Dwelling",955,2280,2000,1925
"2 Two Dwelling",2100,3900,4056,1914
"2 Two Dwelling",1171.2,1714,9260,1899
"2 Two Dwelling",1250,2970,2322,1910
"2 Two Dwelling",930,1944,2250,1905
"2 Two Dwelling",1210,1944,2250,1930
"2 Two Dwelling",998,1810,2000,1905
"2 Two Dwelling",1150,3138,2000,1910
"2 Two Dwelling",450,2620,1722,1925
"2 Two Dwelling",1175,3085,1992,1925
"2 Two Dwelling",10,1960,2000,1910
"2 Two Dwelling",1400,3300,2050,1932
"2 Two Dwelling",1030,3120,2000,1925
"2 Two Dwelling",1460,2710,3617,1925
"2 Two Dwelling",1335,2730,2000,1901
"2 Two Dwelling",939,2730,2000,1901
"2 Two Dwelling",1250,2970,2000,1905
"2 Two Dwelling",1385,2380,2000,1910
"2 Two Dwelling",1405,2630,1713,1910
"2 Two Dwelling",1100,2176,2700,1901
"2 Two Dwelling",880,1378,2850,1920
"2 Two Dwelling",840,1378,2850,1920
"2 Two Dwelling",1100,2200,1813,1905
"2 Two Dwelling",1085,2400,1943,1910
"2 Two Dwelling",980,1900,1812,1915
"2 Two Dwelling",283.333,3360,1917,1901
"2 Two Dwelling",1450,2640,2400,1930
"2 Two Dwelling",905,3060,2000,1910
"2 Two Dwelling",810,2272,1800,1901
"2 Two Dwelling",996.5,1400,1703,1899
"2 Two Dwelling",1470,2168,2957,1899
"2 Two Dwelling",1050,2168,2970,1899
"2 Two Dwelling",1200,2060,1863,1910
"2 Two Dwelling",1075,2650,2143,1905
"2 Two Dwelling",975,2268,2000,1901
"2 Two Dwelling",942.5,1897,3280,1905
"2 Two Dwelling",1280,2862,2000,1899
"2 Two Dwelling",1099.904,2862,2000,1899
"2 Two Dwelling",1450,3300,1704,1931
"2 Two Dwelling",1400,2760,2000,1910
"2 Two Dwelling",950,1680,2000,1910
"2 Two Dwelling",990,2970,1440,1931
"2 Two Dwelling",1250,2970,1440,1931
"2 Two Dwelling",875,3072,2187,1910
"2 Two Dwelling",1300,2680,2458,1920
"2 Two Dwelling",1550,3341,6560,1920
"2 Two Dwelling",1210,2340,2475,1925
"2 Two Dwelling",1250,3767,2000,1940
"2 Two Dwelling",1010,2388,2433,1910
"2 Two Dwelling",999,2010,2000,1910
"2 Two Dwelling",990,2034,2000,1920
"2 Two Dwelling",1350,2560,2000,1931
"2 Two Dwelling",1017.231,2128,2500,1930
"2 Two Dwelling",1300,2280,2400,1910
"2 Two Dwelling",1250,2320,2631,1920
"2 Two Dwelling",990,2128,2300,1920
"2 Two Dwelling",1320,2560,2500,1915
"2 Two Dwelling",2416,3608,5184,1901
"2 Two Dwelling",1400,1981,2300,1925
"2 Two Dwelling",980,2950,2052,1925
"2 Two Dwelling",1370,2240,2425,1920
"2 Two Dwelling",1150,1776,1731,1965
"2 Two Dwelling",725,2136,2500,1925
"2 Two Dwelling",1180,3000,2500,1925
"2 Two Dwelling",999.99,2048,2000,1901
"2 Two Dwelling",850,1344,1702,1920
"2 Two Dwelling",940,2001,2667,1940
"2 Two Dwelling",1154.5,2200,2250,1925
"2 Two Dwelling",827.321,1750,2000,1925
"2 Two Dwelling",900,1300,2759,1899
"2 Two Dwelling",1600,3700,1700,1919
"2 Two Dwelling",1100,1928,2600,1915
"2 Two Dwelling",1071.932,2280,2550,1925
"2 Two Dwelling",1138,4080,2450,1930
"2 Two Dwelling",905,2080,2290,1950
"2 Two Dwelling",1280,2684,2440,1925
"2 Two Dwelling",1510,2264,4667,1915
"2 Two Dwelling",775,2048,2000,1960
"2 Two Dwelling",950,2227,4000,1910
"2 Two Dwelling",990,2396,1950,1925
"2 Two Dwelling",795,1691,1682,1930
"2 Two Dwelling",890,3327,2468,1965
"2 Two Dwelling",625,2072,2170,1925
"2 Two Dwelling",850,2072,2170,1925
"2 Two Dwelling",935,2272,2170,1925
"2 Two Dwelling",1175,3327,2468,1965
"3 Three Dwelling",990,3042,1918,1910
"3 Three Dwelling",1185,2880,2000,1925
"3 Three Dwelling",1175,2330,1959,1899
"3 Three Dwelling",1300,2868,1967,1920
"3 Three Dwelling",1160,3030,2000,1920
"3 Three Dwelling",988,2992,2504,1930
"3 Three Dwelling",350,2880,2052,1935
"3 Three Dwelling",1400,3438,4000,1925
"3 Three Dwelling",1360,2860,2000,1950
"3 Three Dwelling",1200,3522,2440,1925
"1 One Dwelling",450,2000,1326,1925
"1 One Dwelling",1450,2700,2000,1899
"1 One Dwelling",759,1600,2000,1899
"1 One Dwelling",825,1280,1600,1899
"1 One Dwelling",700,1500,2171,1899
"1 One Dwelling",500,1200,1375,1899
"1 One Dwelling",1102.5,3024,1800,1899
"1 One Dwelling",995,1400,3000,1899
"1 One Dwelling",1195,2160,1800,1899
"1 One Dwelling",945,1863,1775,1899
"1 One Dwelling",499.99,1942,1456,1931
"1 One Dwelling",1337,3600,2000,1899
"1 One Dwelling",575,1440,2500,1899
